file,U,D,date
limit_list_2019-07-31.csv,16,1,2019-07-31
limit_list_2019-08-01.csv,23,3,2019-08-01
limit_list_2019-08-02.csv,11,10,2019-08-02
limit_list_2019-08-05.csv,19,9,2019-08-05
limit_list_2019-08-06.csv,13,45,2019-08-06
limit_list_2019-08-07.csv,25,7,2019-08-07
limit_list_2019-08-08.csv,17,7,2019-08-08
limit_list_2019-08-09.csv,13,2,2019-08-09
limit_list_2019-08-12.csv,24,3,2019-08-12
limit_list_2019-08-13.csv,15,2,2019-08-13
limit_list_2019-08-14.csv,31,3,2019-08-14
limit_list_2019-08-15.csv,18,14,2019-08-15
limit_list_2019-08-16.csv,17,3,2019-08-16
limit_list_2019-08-19.csv,49,3,2019-08-19
limit_list_2019-08-20.csv,39,2,2019-08-20
limit_list_2019-08-21.csv,25,5,2019-08-21
limit_list_2019-08-22.csv,28,3,2019-08-22
limit_list_2019-08-23.csv,36,4,2019-08-23
limit_list_2019-08-26.csv,21,6,2019-08-26
limit_list_2019-08-27.csv,40,3,2019-08-27
limit_list_2019-08-28.csv,39,5,2019-08-28
limit_list_2019-08-29.csv,30,3,2019-08-29
limit_list_2019-08-30.csv,23,19,2019-08-30
limit_list_2019-09-02.csv,40,1,2019-09-02
limit_list_2019-09-03.csv,32,4,2019-09-03
limit_list_2019-09-04.csv,32,4,2019-09-04
limit_list_2019-09-05.csv,38,2,2019-09-05
limit_list_2019-09-06.csv,21,2,2019-09-06
limit_list_2019-09-09.csv,35,2,2019-09-09
limit_list_2019-09-10.csv,32,4,2019-09-10
limit_list_2019-09-11.csv,22,4,2019-09-11
limit_list_2019-09-12.csv,26,4,2019-09-12
limit_list_2019-09-16.csv,32,2,2019-09-16
limit_list_2019-09-17.csv,24,11,2019-09-17
limit_list_2019-09-18.csv,24,4,2019-09-18
limit_list_2019-09-19.csv,20,5,2019-09-19
limit_list_2019-09-20.csv,21,4,2019-09-20
limit_list_2019-09-23.csv,20,4,2019-09-23
limit_list_2019-09-24.csv,29,3,2019-09-24
limit_list_2019-09-25.csv,12,11,2019-09-25
limit_list_2019-09-26.csv,17,50,2019-09-26
limit_list_2019-09-27.csv,23,7,2019-09-27
limit_list_2019-09-30.csv,13,6,2019-09-30
limit_list_2019-10-08.csv,20,12,2019-10-08
limit_list_2019-10-09.csv,18,10,2019-10-09
limit_list_2019-10-10.csv,15,4,2019-10-10
limit_list_2019-10-11.csv,31,2,2019-10-11
limit_list_2019-10-14.csv,40,2,2019-10-14
limit_list_2019-10-15.csv,19,11,2019-10-15
limit_list_2019-10-16.csv,21,12,2019-10-16
limit_list_2019-10-17.csv,17,6,2019-10-17
limit_list_2019-10-18.csv,22,6,2019-10-18
limit_list_2019-10-21.csv,30,21,2019-10-21
limit_list_2019-10-22.csv,21,4,2019-10-22
limit_list_2019-10-23.csv,25,6,2019-10-23
limit_list_2019-10-24.csv,19,6,2019-10-24
limit_list_2019-10-25.csv,14,9,2019-10-25
limit_list_2019-10-28.csv,70,8,2019-10-28
limit_list_2019-10-29.csv,36,11,2019-10-29
limit_list_2019-10-30.csv,12,28,2019-10-30
limit_list_2019-10-31.csv,22,28,2019-10-31
limit_list_2019-11-01.csv,21,15,2019-11-01
limit_list_2019-11-04.csv,22,5,2019-11-04
limit_list_2019-11-05.csv,9,11,2019-11-05
limit_list_2019-11-06.csv,12,7,2019-11-06
limit_list_2019-11-07.csv,19,3,2019-11-07
limit_list_2019-11-08.csv,22,4,2019-11-08
limit_list_2019-11-11.csv,22,16,2019-11-11
limit_list_2019-11-12.csv,19,10,2019-11-12
limit_list_2019-11-13.csv,16,13,2019-11-13
limit_list_2019-11-14.csv,17,4,2019-11-14
limit_list_2019-11-15.csv,19,13,2019-11-15
limit_list_2019-11-18.csv,17,4,2019-11-18
limit_list_2019-11-19.csv,31,1,2019-11-19
limit_list_2019-11-20.csv,28,4,2019-11-20
limit_list_2019-11-21.csv,30,7,2019-11-21
limit_list_2019-11-22.csv,21,9,2019-11-22
limit_list_2019-11-25.csv,24,20,2019-11-25
limit_list_2019-11-26.csv,18,10,2019-11-26
limit_list_2019-11-27.csv,14,10,2019-11-27
limit_list_2019-11-28.csv,17,8,2019-11-28
limit_list_2019-11-29.csv,13,6,2019-11-29
limit_list_2019-12-02.csv,17,7,2019-12-02
limit_list_2019-12-03.csv,20,5,2019-12-03
limit_list_2019-12-04.csv,19,3,2019-12-04
limit_list_2019-12-05.csv,19,3,2019-12-05
limit_list_2019-12-06.csv,21,4,2019-12-06
limit_list_2019-12-09.csv,28,2,2019-12-09
limit_list_2019-12-10.csv,21,3,2019-12-10
limit_list_2019-12-11.csv,22,1,2019-12-11
limit_list_2019-12-12.csv,29,6,2019-12-12
limit_list_2019-12-13.csv,24,6,2019-12-13
limit_list_2019-12-16.csv,32,2,2019-12-16
limit_list_2019-12-17.csv,27,1,2019-12-17
limit_list_2019-12-18.csv,35,2,2019-12-18
limit_list_2019-12-19.csv,30,2,2019-12-19
limit_list_2019-12-20.csv,27,8,2019-12-20
limit_list_2019-12-23.csv,24,33,2019-12-23
limit_list_2019-12-24.csv,28,8,2019-12-24
limit_list_2019-12-25.csv,31,5,2019-12-25
limit_list_2019-12-26.csv,29,2,2019-12-26
limit_list_2019-12-27.csv,31,6,2019-12-27
limit_list_2019-12-30.csv,29,26,2019-12-30
limit_list_2019-12-31.csv,22,8,2019-12-31
limit_list_2020-01-02.csv,33,1,2020-01-02
limit_list_2020-01-03.csv,42,4,2020-01-03
limit_list_2020-01-06.csv,40,3,2020-01-06
limit_list_2020-01-07.csv,50,3,2020-01-07
limit_list_2020-01-08.csv,32,6,2020-01-08
limit_list_2020-01-09.csv,34,2,2020-01-09
limit_list_2020-01-10.csv,29,10,2020-01-10
limit_list_2020-01-13.csv,30,8,2020-01-13
limit_list_2020-01-14.csv,34,6,2020-01-14
limit_list_2020-01-15.csv,19,12,2020-01-15
limit_list_2020-01-16.csv,30,8,2020-01-16
limit_list_2020-01-17.csv,21,13,2020-01-17
limit_list_2020-01-20.csv,31,22,2020-01-20
limit_list_2020-01-21.csv,22,19,2020-01-21
limit_list_2020-01-22.csv,28,37,2020-01-22
limit_list_2020-01-23.csv,12,84,2020-01-23
limit_list_2020-02-03.csv,35,1026,2020-02-03
limit_list_2020-02-04.csv,60,435,2020-02-04
limit_list_2020-02-05.csv,108,5,2020-02-05
limit_list_2020-02-06.csv,103,2,2020-02-06
limit_list_2020-02-07.csv,84,9,2020-02-07
limit_list_2020-02-10.csv,89,20,2020-02-10
limit_list_2020-02-11.csv,38,26,2020-02-11
limit_list_2020-02-12.csv,40,9,2020-02-12
limit_list_2020-02-13.csv,31,9,2020-02-13
limit_list_2020-02-14.csv,31,12,2020-02-14
limit_list_2020-02-17.csv,75,1,2020-02-17
limit_list_2020-02-18.csv,53,3,2020-02-18
limit_list_2020-02-19.csv,46,15,2020-02-19
limit_list_2020-02-20.csv,61,2,2020-02-20
limit_list_2020-02-21.csv,56,2,2020-02-21
limit_list_2020-02-24.csv,71,7,2020-02-24
limit_list_2020-02-25.csv,76,35,2020-02-25
limit_list_2020-02-26.csv,59,47,2020-02-26
limit_list_2020-02-27.csv,42,28,2020-02-27
limit_list_2020-02-28.csv,23,158,2020-02-28
limit_list_2020-03-02.csv,106,15,2020-03-02
limit_list_2020-03-03.csv,67,0,2020-03-03
limit_list_2020-03-04.csv,33,7,2020-03-04
limit_list_2020-03-05.csv,74,1,2020-03-05
limit_list_2020-03-06.csv,46,1,2020-03-06
limit_list_2020-03-09.csv,46,47,2020-03-09
limit_list_2020-03-10.csv,65,46,2020-03-10
limit_list_2020-03-11.csv,59,7,2020-03-11
limit_list_2020-03-12.csv,37,21,2020-03-12
limit_list_2020-03-13.csv,43,43,2020-03-13
limit_list_2020-03-16.csv,35,104,2020-03-16
limit_list_2020-03-17.csv,23,54,2020-03-17
limit_list_2020-03-18.csv,33,19,2020-03-18
limit_list_2020-03-19.csv,28,15,2020-03-19
